source,name,sport,person_type,country_as_listed,taiwan_excluded,nationality_review,sanction,source_status,decision_url,named,resolved_or_announced_with_link,name_key,name_matches_existing,publication_approved
USADA,"Roberts, Gil",Track and Field,not separately classified in source table,,False,pending_individual_verification,8-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/gil-roberts-receives-sanction-second-violation/,True,True,gil roberts,True,False
USADA,*Name Removed,Track and Field,not separately classified in source table,,False,pending_individual_verification,No Fault or Negligence,announced,,False,False,name removed,False,False
USADA,"Nicholson, Ella",Weightlifting,not separately classified in source table,,False,pending_individual_verification,Public Warning,announced,https://www.usada.org/sanction-public-warning/ella-nicholson-accepts-public-warning/,True,True,ella nicholson,False,False
USADA,"McMahon, Kensey",Swimming,not separately classified in source table,,False,pending_individual_verification,4-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/arbitrator-imposes-doping-sanction-kensey-mcmahon/,True,True,kensey mcmahon,False,False
USADA,"Johnson, Breezy",Skiing,not separately classified in source table,,False,pending_individual_verification,14-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/breezy-johnson-accepts-whereabouts-sanction/,True,True,breezy johnson,False,False
USADA,"Mauk, Joshua",Weightlifting,not separately classified in source table,,False,pending_individual_verification,3-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/joshua-mauk-accepts-doping-sanction/,True,True,joshua mauk,False,False
USADA,"Babet, Aaron",Weightlifting,not separately classified in source table,,False,pending_individual_verification,1-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/aaron-babet-accepts-doping-sanction/,True,True,aaron babet,False,False
USADA,"Porter, William",Powerlifting,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/william-porter-receives-doping-sanction/,True,True,porter william,False,False
USADA,*Name Removed,Track and Field,not separately classified in source table,,False,pending_individual_verification,No Fault or Negligence,announced,,False,False,name removed,False,False
USADA,"Flournoy, Jaron",Track and Field,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/jaron-flournoy-accepts-doping-sanction/,True,True,flournoy jaron,False,False
USADA,"Martinez Jr., Ruben",Weightlifting,not separately classified in source table,,False,pending_individual_verification,3-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/ruben-martinez-jr-accepts-doping-violation/,True,True,jr martinez ruben,False,False
USADA,"Tadic, Ilija",Para Swimming,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/ilija-tadic-accepts-doping-sanction/,True,True,ilija tadic,False,False
USADA,"Lugo, Nathan",Boxing,not separately classified in source table,,False,pending_individual_verification,1-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/nathan-lugo-accepts-doping-violation/,True,True,lugo nathan,False,False
USADA,"Travieso, Frank",Cycling,not separately classified in source table,,False,pending_individual_verification,6-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/frank-travieso-accepts-doping-sanction/,True,True,frank travieso,False,False
USADA,"DesChamps, Christian",Cycling,not separately classified in source table,,False,pending_individual_verification,14-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/christian-deschamps-accepts-anti-doping-violation/,True,True,christian deschamps,False,False
USADA,"Kirby, Katelyn",Weightlifting,not separately classified in source table,,False,pending_individual_verification,3-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/katelyn-kirby-accepts-doping-sanction/,True,True,katelyn kirby,False,False
USADA,*Name Removed,Para Track and Field,not separately classified in source table,,False,pending_individual_verification,No Fault or Negligence,announced,,False,False,name removed,False,False
USADA,"Davis, Wyatt",Swimming,not separately classified in source table,,False,pending_individual_verification,3-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/wyatt-davis-accepts-doping-sanction/,True,True,davis wyatt,False,False
USADA,"Porfirio, Andre Luiz Novaes",Brazilian Jiu-Jitsu,not separately classified in source table,,False,pending_individual_verification,4-Year Suspension; Loss of Results,announced,https://www.usada.org/sanction/andre-luiz-novaes-porfirio-receives-doping-sanction/,True,True,andre luiz novaes porfirio,False,False
USADA,"Sundeen, Tyler",Field Hockey,not separately classified in source table,,False,pending_individual_verification,6-Month Suspension; Loss of Results,announced,https://www.usada.org/sanction/tyler-sundeen-accepts-doping-sanction/,True,True,sundeen tyler,False,False
USADA,"Pfuhler, Ina",Cycling,not separately classified in source table,,False,pending_individual_verification,2-Year Suspension; Loss of Results; Sanction tolled due to retirement,announced,https://www.usada.org/sanction/ina-pfuhler-accepts-doping-sanction/,True,True,ina pfuhler,False,False
USADA,"Rodriguez, Daniel",Mixed Martial Arts,not separately classified in source table,,False,pending_individual_verification,3-Month Suspenion,announced,https://www.usada.org/sanction/daniel-rodriguez-accepts-doping-sanction/,True,True,daniel rodriguez,False,False
